DateTime,production_kWh,demand_kWh,spot_price_rp_per_kWh,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-08-30 02:15:00,593.6,1045.652,9.3698616,952.0519998006782,0.0,499.99999980141064,7.708820546691967e-10,1149.9999995690819,452.05200000312095,2.7995981847733085e-11,3.529914793123044e-09,4.599786377231304e-10,200.0000000385524,8930.595474131627,4235.664676032261,333.21819993023735,158.21820000109233
2024-08-30 02:30:00,553.4,1094.384,9.3698616,1040.9839998581226,0.0,499.9999998588531,7.689685973673803e-10,1624.9999994342245,540.9840000032718,6.862001216703615e-14,3.6338426443633745e-09,3.811765911422674e-10,200.00000004162337,9763.876006482222,5068.945207845136,364.3443999503429,189.34440000114512
2024-08-30 02:45:00,593.5,1130.9,9.3698616,1037.3999998871718,0.0,499.9999998879013,7.679686077693408e-10,2099.999999326965,537.4000000030082,-5.1363600809100126e-14,3.3632167565336355e-09,3.736964913882803e-10,200.00000004444473,9730.29442278059,5035.363623868262,363.0899999605101,188.09000000105289
2024-08-30 03:00:00,593.1,938.36,9.4075256,785.8874509197391,0.0,440.6274509204947,7.954484634752119e-10,2518.596077700638,345.2600000020424,2.873653671268244e-11,2.4747029893894386e-09,4.853215646666201e-10,200.00000004631036,7402.068862264614,3248.0422886750025,275.06060782190866,120.84100000071483
2024-08-30 03:15:00,592.9,1018.112,9.4075256,869.6388962786535,0.0,444.4268962794087,7.950005553388627e-10,2940.8016291652825,425.2120000020509,2.8301773545053143e-11,2.4597380432408593e-09,4.601360676715359e-10,200.000000048187,8190.038717422782,4000.192775446286,304.3736136975287,148.8242000007178
2024-08-30 03:30:00,552.8,966.22,9.4075256,862.1103826171865,0.0,448.69038261794157,7.949570749771109e-10,3367.0574926515333,413.4200000019132,2.8319143650800983e-11,2.326269286030599e-09,4.647013942126791e-10,200.00000004993225,8119.299302149351,3889.2592335697877,301.73863391601526,144.69700000066962
2024-08-30 03:45:00,592.8,1052.696,9.4075256,915.6249549417455,0.0,455.7289549425018,7.959876662554783e-10,3799.9999998461126,459.89600000186897,2.809377639587185e-11,2.284519366420761e-09,4.66948979656069e-10,200.0000000516356,8622.879782712183,4326.483393354973,320.4687342296109,160.96360000065414
2024-08-30 04:00:00,552.8,899.492,9.4470728,346.6920000242414,0.0,2.502103130111463e-08,8.207007284749912e-10,3799.999999869062,346.6920000015886,2.8815453025939288e-11,2.0211944829880905e-09,4.856914832747665e-10,200.00000005307004,3275.2245634071273,3275.2245631923856,121.34220000848448,121.342200000556
2024-08-30 04:15:00,592.7,882.632,9.4470728,289.9320000254891,0.0,2.6260975048039118e-08,8.123717503737197e-10,3799.9999998931976,289.9320000014103,2.927538885146847e-11,1.861409746518956e-09,5.055644490484799e-10,200.00000005433282,2739.0087112909396,2739.008711062694,101.47620000892118,101.4762000004936
2024-08-30 04:30:00,552.8,903.756,9.4470728,350.9560000307735,0.0,3.1535904711110676e-08,8.0259418833994e-10,3799.9999999223537,350.9560000014431,2.8841307297646764e-11,1.8848546109943454e-09,4.953810986027988e-10,200.00000005562805,3315.5068818881664,3315.506881610209,122.83460001077071,122.83460000050508
