pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
39,epsilon_constrained_cost,6201376.791387104,101544682.9947614,-1015446.8299476141,6201376.791387087,10755132.552400513,35254321.48593141,11502.363509582981,8556276.41506771,8128462.594314324
40,epsilon_constrained_cost,6208779.324584158,101505440.72153103,-1015054.4072153104,6208779.324584138,10781161.168080447,35286125.16085344,11516.821582233471,8497045.03822574,8072192.786314454
41,epsilon_constrained_cost,6216181.857781211,101473670.34382981,-1014736.7034382981,6216181.857781193,10804995.190167375,35320123.4293685,11531.279654883969,8392796.3569115,7973156.539065925
42,epsilon_constrained_cost,6223584.390978264,101448085.84528601,-1014480.8584528601,6223584.390978254,10833313.10035118,35349637.809786744,11545.73772753448,8380524.867327547,7961498.623961169
43,epsilon_constrained_cost,6230986.9241753165,101427582.29575479,-1014275.8229575478,6230986.924175286,10859394.459025215,35381388.741714515,11560.19580018493,8322375.398058495,7906256.6281555705
44,epsilon_constrained_cost,6238389.457372369,101410211.77693623,-1014102.1177693623,6238389.457372325,10886006.893952293,35412608.597389296,11574.653872835397,8275119.800646137,7861363.81061383
45,epsilon_constrained_cost,6245791.990569422,101395476.15559328,-1013954.7615559328,6245791.990569248,10912482.151386682,35443965.630555876,11589.11194548564,8225050.30595026,7813797.7906529065
46,epsilon_constrained_cost,6253194.523766475,101384080.58210629,-1013840.8058210629,6253194.523766344,10939713.026330449,35474567.046214424,11603.570018136219,8190480.657593492,7780956.624714018
47,epsilon_constrained_cost,6260597.0569635285,101375802.31116796,-1013758.0231116796,6260597.056963469,10968185.329802131,35503927.03334528,11618.028090786855,8181376.209815724,7772307.399325139
48,epsilon_constrained_cost,6267999.590160581,101370867.06438744,-1013708.6706438744,6267999.59016058,10995755.97142952,35534188.68232033,11632.486163437461,8153776.134453207,7746087.327730547
49,cost_anchor,6275402.123357634,101369416.43991458,-1013694.1643991459,6275402.123357634,11020225.49751689,35567551.44683494,11646.944236087955,8062563.432635387,7659435.261003617
