pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
26,epsilon_constrained_cost,4306280.69937818,-318698965.2736019,3186989.652736019,4306280.699378035,10858020.161823705,20767503.97625079,7906.381034518624,5204295.072542708,4944080.318915573
27,epsilon_constrained_cost,4308679.998792263,-318795895.4563123,3187958.954563123,4308679.998792128,10858070.991283178,20786197.67346391,7911.067166186773,5013086.172505278,4762431.863880014
28,epsilon_constrained_cost,4311079.298206346,-318889546.0220644,3188895.460220644,4311079.298206219,10858387.363808692,20804625.827610992,7915.753297854921,4827324.309719987,4585958.094233988
29,epsilon_constrained_cost,4313478.5976204295,-318980289.2025243,3189802.892025243,4313478.597620312,10858461.258545533,20823296.459546752,7920.439429523071,4636588.543577232,4404759.116398371
30,epsilon_constrained_cost,4315877.897034512,-319068383.6163669,3190683.8361636694,4315877.897034404,10858497.555783954,20842004.688980922,7925.125561191219,4445081.546697737,4222827.469362849
31,epsilon_constrained_cost,4318277.196448595,-319153878.02788466,3191538.7802788466,4318277.196448495,10858591.279091433,20860655.492346022,7929.811692859364,4254752.520465763,4042014.894442475
32,epsilon_constrained_cost,4320676.495862679,-319236914.46578765,3192369.1446578763,4320676.49586259,10858693.910670381,20879297.387439698,7934.49782452752,4064606.2280070093,3861375.916606658
33,epsilon_constrained_cost,4323075.795276761,-319317205.3451145,3193172.053451145,4323075.79527669,10858712.384354591,20898023.440428145,7939.183956195684,3872733.6197584346,3679096.938770513
34,epsilon_constrained_cost,4325475.094690844,-319394858.9009109,3193948.589009109,4325475.094690791,10858955.709662957,20916524.641792446,7943.870087863851,3685473.352518039,3501199.684892137
35,epsilon_constrained_cost,4327874.394104928,-319470331.9749588,3194703.3197495877,4327874.394104895,10858989.854881378,20935235.023246706,7948.556219532021,3493922.2116376935,3319226.1010558093
36,epsilon_constrained_cost,4330273.69351901,-319543293.6409948,3195432.936409948,4330273.693518993,10859379.854881378,20953589.549919352,7953.242351200182,3309670.656020778,3144187.1232197387
37,epsilon_constrained_cost,4332672.992933094,-319613538.1580834,3196135.381580834,4332672.992933095,10859842.604455587,20971871.32701781,7957.928482868349,3126911.399361832,2970565.8293937407
38,epsilon_constrained_cost,4335072.292347177,-319681015.85803664,3196810.1585803665,4335072.292347197,10860569.315668885,20989889.14247719,7962.614614536518,2949566.7404276608,2802088.403406278
39,epsilon_constrained_cost,4337471.591761259,-319745520.36615026,3197455.203661503,4337471.591761299,10860690.287082043,21008512.6977367,7967.300746204685,2759796.6496958234,2621806.817211033
40,epsilon_constrained_cost,4339870.891175343,-319806833.8583613,3198068.338583613,4339870.891175382,10860781.13481099,21027166.376680277,7971.986877872817,2569408.637238089,2440938.2053761845
41,epsilon_constrained_cost,4342270.190589426,-319865419.66940045,3198654.1966940043,4342270.190589465,10861201.83385678,21045490.20430701,7976.6730095409475,2385786.8056386802,2266497.4653567467
42,epsilon_constrained_cost,4344669.4900035085,-319921319.7185662,3199213.1971856616,4344669.490003548,10861251.753157806,21064184.811678503,7981.359141209077,2194559.2356851334,2084831.2739008763
43,epsilon_constrained_cost,4347068.789417592,-319973947.3128958,3199739.4731289577,4347068.789417631,10861567.468492707,21082613.623016126,7986.045272877209,2008783.8920674967,1908344.697464122
44,epsilon_constrained_cost,4349468.088831675,-320023002.195898,3200230.02195898,4349468.088831713,10861639.63825955,21101285.979921807,7990.731404545339,1818012.74192556,1727112.1048292818
45,epsilon_constrained_cost,4351867.388245758,-320065416.46415436,3200654.1646415438,4351867.388245796,10862317.915395865,21119352.22945801,7995.417536213468,1639674.5634651792,1557690.8352919198
46,epsilon_constrained_cost,4354266.687659841,-320098365.4257652,3200983.6542576523,4354266.687659879,10863375.71240038,21137038.959126018,8000.1036678816,1469121.4079421589,1395665.3375450508
47,epsilon_constrained_cost,4356665.987073924,-320121506.29779816,3201215.0629779818,4356665.987073961,10864729.305843512,21154429.892355397,8004.789799549727,1304635.8716729623,1239404.0780893143
48,epsilon_constrained_cost,4359065.286488007,-320134323.0939821,3201343.230939821,4359065.286488041,10867253.760297555,21170649.96457386,8009.475931217854,1164167.9971660667,1105959.597307763
49,cost_anchor,4361464.58590209,-320137449.55376315,3201374.4955376317,4361464.58590209,10870336.553516315,21186311.698027357,8014.162062885917,1035153.2255277634,983395.5642513752
