DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,prod_for_local_demand_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share
2024-11-30 04:45:00,421.119,662.0,188.475,9.8666091,3.35,1.0,20000.0,462.6059402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,770.3725000000009,229.96194029850773,1.0,20556.170656043927,5139.042664010982,770.3725000000009,229.96194029850773,86.69800000000069,0.0,605272.7415666586,5000.0,0.0,1.1637046827794575,0.0
2024-11-30 05:00:00,432.97,718.25,218.475,10.1496027,3.35,1.0,20000.0,444.60694029850777,0.0,0.0,0.0,18112.47762765122,0.0,0.0,770.8750000000009,230.11194029850773,1.0,20556.170656043927,5139.042664010982,770.8750000000009,230.11194029850773,42.1,0.0,605314.8415666586,5000.0,0.0,1.0732683605986786,0.0
2024-11-30 05:15:00,415.691,743.0,288.35,10.1496027,3.35,1.0,20000.0,357.6029402985077,0.0,0.0,0.0,18112.47762765122,0.0,0.0,771.377500000001,230.26194029850774,1.0,20556.170656043927,5139.042664010982,771.377500000001,230.26194029850774,22.702000000000773,0.0,605337.5435666586,5000.0,0.0,1.0381931359353984,0.0
2024-11-30 05:30:00,411.532,744.0,298.2,10.1496027,3.35,1.0,20000.0,343.7439402985077,0.0,0.0,0.0,18112.47762765122,0.0,0.0,771.880000000001,230.41194029850774,1.0,20556.170656043927,5139.042664010982,771.880000000001,230.41194029850774,22.304000000000816,0.0,605359.8475666586,5000.0,0.0,1.0374731182795713,0.0
2024-11-30 05:45:00,431.636,827.0,318.2,10.1496027,3.35,1.0,20000.0,343.9979402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,772.382500000001,230.56194029850775,1.0,20556.170656043927,5139.042664010982,772.382500000001,230.56194029850775,0.0,54.61749999999904,605305.2300666586,5000.0,0.0,0.9339570737605816,0.06604292623941843
2024-11-30 06:00:00,463.81,894.5,348.2,10.5368571,3.35,1.0,20000.0,346.3219402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,772.885000000001,230.71194029850776,1.0,20556.170656043927,5139.042664010982,772.885000000001,230.71194029850776,0.0,121.61499999999899,605183.6150666586,5000.0,0.0,0.8640413638904427,0.13595863610955727
2024-11-30 06:15:00,461.356,863.75,348.175,10.5368571,3.35,1.0,20000.0,344.04294029850774,0.0,0.0,0.0,18112.47762765122,0.0,0.0,773.3875000000011,230.86194029850776,1.0,20556.170656043927,5139.042664010982,773.3875000000011,230.86194029850776,0.0,90.36249999999893,605093.2525666585,5000.0,0.0,0.8953835021707682,0.10461649782923176
2024-11-30 06:30:00,475.745,956.0,308.2,10.5368571,3.35,1.0,20000.0,398.5569402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,773.890000000001,231.01194029850777,1.0,20556.170656043927,5139.042664010982,773.890000000001,231.01194029850777,0.0,182.109999999999,604911.1425666586,5000.0,0.0,0.8095083682008378,0.19049163179916212
2024-11-30 06:45:00,494.35,865.25,318.2,10.5368571,3.35,1.0,20000.0,407.3119402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,774.3925000000011,231.16194029850777,1.0,20556.170656043927,5139.042664010982,774.3925000000011,231.16194029850777,0.0,90.85749999999894,604820.2850666585,5000.0,0.0,0.8949927766541474,0.10500722334585257
2024-11-30 07:00:00,480.46,872.5,308.2,10.8682575,3.35,1.0,20000.0,403.5719402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,774.8950000000011,231.31194029850778,1.0,20556.170656043927,5139.042664010982,774.8950000000011,231.31194029850778,0.0,97.60499999999888,604722.6800666585,5000.0,0.0,0.8881318051575944,0.1118681948424056
2024-11-30 07:15:00,459.706,786.5,348.175,10.8682575,3.35,1.0,20000.0,342.9929402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,775.3975000000011,231.46194029850778,1.0,20556.170656043927,5139.042664010982,775.3975000000011,231.46194029850778,0.0,11.10249999999894,604711.5775666585,5000.0,0.0,0.985883661792754,0.01411633820724595
2024-11-30 07:30:00,460.168,836.25,358.2,10.8682575,3.35,1.0,20000.0,333.57994029850784,0.0,0.0,0.0,18112.47762765122,0.0,0.0,775.9,231.6119402985078,1.0,20556.170656043927,5139.042664010982,775.9,231.6119402985078,0.0,60.35,604651.2275666585,5000.0,0.0,0.9278325859491778,0.07216741405082212
2024-11-30 07:45:00,488.355,782.5,358.175,10.8682575,3.35,1.0,20000.0,361.9419402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,776.4025000000012,231.7619402985078,1.0,20556.170656043927,5139.042664010982,776.4025000000012,231.7619402985078,0.0,6.097499999998831,604645.1300666585,5000.0,0.0,0.9922076677316309,0.007792332268369113
2024-11-30 08:00:00,521.071,857.5,378.175,11.5729488,3.35,1.0,20000.0,374.8079402985078,0.0,0.0,0.0,18112.47762765122,0.0,0.0,776.9050000000011,231.9119402985078,1.0,20556.170656043927,5139.042664010982,776.9050000000011,231.9119402985078,0.0,80.59499999999889,604564.5350666585,5000.0,0.0,0.9060116618075814,0.09398833819241853
