DateTime,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-02-21 01:15:00,923.7960001072832,0.0,1.084278351166923e-07,1.2048443614055392e-09,2099.999999960314,896.9598651102015,-1.5853475216626167e-14,2.906006977225874e-08,28.24856307248278,2289.53016706931,4836.307628543848,4696.378589879539,323.3286000375491,313.9359527885705
2024-02-21 01:30:00,1037.42000010724,0.0,1.0838449838665443e-07,1.2048011232331651e-09,2100.000000062055,1010.6361733685806,-6.033343854898454e-14,2.9057613141792197e-08,28.1935017478706,2261.3366653490666,5431.1582426636205,5291.501949844267,363.097000037534,353.7226606790032
2024-02-21 01:45:00,1100.8640001072417,0.0,1.0838629126846966e-07,1.2047672653069368e-09,2100.00000016382,1074.1963610734217,1.9322371935977245e-13,2.9056656147325886e-08,28.071198900668602,2233.265466476014,5763.30376088363,5624.253294270031,385.3024000375346,375.9687263756976
2024-02-21 02:00:00,956.4560000931843,0.0,9.43307006898847e-08,1.20664862845489e-09,2100.0000002522306,929.9594699461509,5.57582951164759e-14,2.9056043990163902e-08,27.891084297794873,2205.374382205833,5008.200646425844,4870.017177975392,334.7596000326145,325.4858144811528
2024-02-21 02:15:00,957.2080000932291,0.0,9.437555455876767e-08,1.2066309725206666e-09,2100.00000034068,930.9214992294158,4.1428395002734986e-14,2.9055024480383485e-08,27.670000841725436,2177.7043813917016,5012.138273338079,4875.050139811478,335.0228000326302,325.82252473029547
2024-02-21 02:30:00,1325.0000000932873,0.0,9.443359570010523e-08,1.206623543648696e-09,2100.000000429184,1298.9906900588906,-2.165693839539795e-14,2.906258734429283e-08,27.378221021233703,2150.3261603980773,6937.972950490384,6802.3304096515085,463.7500000326505,454.64674152061167
2024-02-21 02:45:00,1370.6680000933577,0.0,9.450379495970496e-08,1.2066280930694319e-09,2100.0000005177553,1345.0156442559564,4.073943873222907e-14,2.908247343522217e-08,27.002479761185477,2123.3236806645077,7177.100006098754,7043.3190361427105,479.73380003267516,470.75547548958474
2024-02-21 03:00:00,1119.920000035613,0.0,3.678130546577035e-08,1.230009211996251e-09,2100.0000005514776,1094.7199128247332,1.6015926649140533e-13,2.9117405088549455e-08,26.526407583562538,2096.7972731086097,5876.912350747643,5745.202447649754,391.9720000124645,383.1519694886566
2024-02-21 03:15:00,981.4040000356173,0.0,3.678592365354699e-08,1.23003356062917e-09,2100.000000585197,956.7940646967621,7.044877376773118e-14,2.9167332266528392e-08,25.9051950867424,2070.8920780495737,5150.033295859666,5021.407860098212,343.49140001246604,334.8779226438667
2024-02-21 03:30:00,839.7440000356221,0.0,3.679074552214584e-08,1.230066212190746e-09,2100.0000006189093,815.6837472963243,-8.724219805779365e-14,2.9227918064462935e-08,25.326581824108864,2045.5654962532194,4406.655729979691,4280.90324625671,293.91040001246773,285.4893115537135
2024-02-21 03:45:00,676.6760000356277,0.0,3.6796313380819956e-08,1.2301082724587749e-09,2100.000000652623,652.8625997706124,5.8859167539893065e-15,2.9233765073619078e-08,25.06673711433821,2020.4987591666738,3550.937157955721,3426.474864825933,236.83660001246966,228.50190991971434
2024-02-21 04:00:00,926.0136969058034,0.0,435.3016969069373,1.1935625437759119e-09,2513.5366127130237,465.60124074182113,-1.2940169769048993e-14,2.9316338307459888e-08,26.432378197363352,1994.0663809971538,4851.340036578209,2435.4131504846832,324.10479391703115,162.9604342596374
2024-02-21 04:15:00,819.9643848539174,0.0,439.6723848550515,1.1936534843231053e-09,2931.225378324123,360.1069198869196,2.969911195335566e-09,2.9221607588639405e-08,21.24745278449664,1972.8189282404069,4296.8373765455435,1883.6217318284635,286.98753469887106,126.03742196042187
2024-02-21 04:30:00,744.8476930455265,0.0,447.7236930466607,1.19380581494518e-09,3356.562886717255,277.45501450124846,2.985495322450427e-09,2.929678463787686e-08,20.7041952958251,1952.1147329724304,3904.171982179497,1451.3786775208787,260.69669256593426,97.10925507543695
2024-02-21 04:45:00,749.5679079733844,0.0,466.775907974519,1.1942106163816916e-09,3799.999999291854,262.1010238525567,2.9796228732221434e-09,2.9134897947192184e-08,21.779974925850258,1930.3347580742707,3929.2376217338187,1371.1057466706313,262.3487677906845,91.73535834839484
